idmov,fecha,idpoliza,idcuenta,nombre,cargo,abono
1,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
2,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
3,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
4,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
5,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
6,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
7,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
8,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
9,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
10,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
11,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
12,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
13,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
14,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
15,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
16,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
17,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
18,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
19,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
20,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
21,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
22,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
23,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
24,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
25,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
26,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
27,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
28,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
29,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
30,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
31,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
32,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
33,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
34,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
35,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
36,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
37,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
38,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
39,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
40,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
41,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
42,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
43,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
44,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
45,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
46,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
47,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
48,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
49,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
50,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
51,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
52,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
53,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
54,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
55,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
56,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
57,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
58,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
59,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
60,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
61,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
62,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
63,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
64,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
65,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
66,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
67,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
68,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
69,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
70,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
71,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
72,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
73,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
74,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
75,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
76,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
77,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
78,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
79,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
80,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
81,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
82,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
83,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
84,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
85,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
86,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
87,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
88,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
89,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
90,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
91,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
92,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
93,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
94,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
95,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
96,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
97,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
98,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
99,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
100,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
101,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
102,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
103,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
104,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
105,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
106,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
107,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
108,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
109,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
110,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
111,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
112,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
113,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
114,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
115,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
116,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
117,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
118,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
119,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
120,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
